Epoch,Train Loss,Validation Loss
0,1.0874182973767201,2.0922640954814526
1,0.8574114395343626,1.4753824700278397
2,0.7841224921194064,1.159516877966582
3,0.741277151698375,1.0886184055261328
4,0.7099089652813997,1.0247626211128587
5,0.6870146719926765,0.9667660496688032
6,0.6673130022977976,0.9670829051458252
7,0.6513677661536672,0.9363427214004949
8,0.6379694243229626,0.9180580544686734
9,0.6267045947952624,0.9093051732971776
10,0.6375018533019503,0.8190761850581092
11,0.6226845178832612,0.8026711570268937
12,0.6126995211416869,0.8075529691399861
13,0.6050113298535658,0.8066970324260043
14,0.5977905344004926,0.8047514179227303
15,0.5918382834269342,0.8203080316819922
16,0.5867808352953455,0.8233229489361147
17,0.5823789584375145,0.8088745388353303
18,0.5783013117671614,0.8215547602312329
19,0.5756453076034609,0.8072249933735144
20,0.5725197671804017,0.7992652897234438
21,0.5700452195716272,0.8033785833240378
22,0.5685128190710299,0.7923349511769677
23,0.5669464602334774,0.8188691991009601
24,0.56478971931739,0.796647732108714
25,0.5635908828155194,0.8132756344702359
26,0.56243834254828,0.8002880119127171
27,0.5617964316083978,0.7950259076644659
28,0.5606589215321768,0.8063267176391697
29,0.5597958699243631,0.8013978006991828
0,0.939152930427677,1.0409336350878613
1,0.8785589579021064,0.9931856446245609
2,0.8524909604977338,0.9753807179059585
3,0.8366377270005023,0.9527238670345355
4,0.8254594973568308,0.9510732280390607
5,0.8177618952789183,0.94213148870333
6,0.8124943575428052,0.9367475558801167
7,0.8079306655960314,0.9290580629506265
8,0.8046751144995896,0.9318323048226931
9,0.8022051897497621,0.9283086814815618
10,0.8004364385333367,0.9207180628160306
11,0.7990838672093006,0.9209914002074326
12,0.7983158217585453,0.9309130771033597
13,0.7981350683391776,0.9158154480211816
14,0.7978209412084305,0.9203641310495376
15,0.7988306294797254,0.9187866125755657
16,0.7990692121702385,0.9166665070998276
17,0.7998963591932348,0.9068942547900254
18,0.8011399702953033,0.9142994445287557
19,0.8020886876834507,0.9156509549746153
20,0.8042071889089666,0.9145214880677909
21,0.8068150376644456,0.9098198301860908
22,0.8082300857120095,0.9155349478169945
23,0.8095767537673806,0.9242395162375323
24,0.8122564550156778,0.9326579626792427
25,0.8143618083395554,0.9394398260287337
26,0.8168862749114971,0.9337742707716569
27,0.8207856680151427,0.9366837408632317
28,0.8239995955387874,0.940034948953255
29,0.8270771212564798,0.9305345352485609
